# EXTENDED CANDIDATES DATABASE - 123 DEVELOPERS
# Format: Name, Technologies, Experience, Projects, Salary, Video (Yes/No)
# Updated: 06.08.2025 from Djinni.co public profiles

## 1. JAVASCRIPT / REACT DEVELOPERS (15 candidates)

Senior React Developer, React • TypeScript • Redux • Next.js • Node.js • GraphQL, 7 years, E-commerce platforms • SaaS solutions • Fintech apps, $5000, Video: Yes

Frontend Developer, JavaScript • React • Vue • HTML5 • CSS3 • Webpack • Figma, 4.5 years, Corporate websites • Landing pages • Admin dashboards, $1500, Video: No

Full Stack React Engineer, React • Next.js • TypeScript • Node.js • PostgreSQL • Docker • AWS, 7 years, Banking apps • Real estate platforms • Healthcare systems, $3500, Video: Yes

React Native Developer, React Native • JavaScript • Redux • Firebase • iOS • Android, 4 years, Dating apps • Food delivery • Fitness tracking, $3000, Video: No

Frontend Tech Lead, React • TypeScript • Redux Toolkit • Storybook • Jest • Cypress, 6 years, Enterprise dashboards • B2B platforms • Analytics tools, $4200, Video: Yes

React.js Developer, React • JavaScript • TypeScript • Material-UI • Styled Components, 3 years, E-commerce stores • Social media apps • Portfolio websites, $2200, Video: No

Senior Frontend Engineer, React • Next.js • TypeScript • GraphQL • Apollo Client • Tailwind, 8 years, SaaS platforms • CRM systems • Data visualization tools, $4800, Video: Yes

Mid React Developer, React • Redux • JavaScript • HTML5 • CSS3 • Bootstrap, 4 years, Corporate portals • Educational platforms • Business tools, $2800, Video: No

React Specialist, React • TypeScript • Next.js • Vercel • Prisma • tRPC, 5 years, Modern web apps • API development • Full-stack solutions, $3600, Video: Yes

Junior React Developer, React • JavaScript • HTML • CSS • Git • Figma, 2 years, Simple web apps • Landing pages • Component libraries, $1800, Video: No

Full Stack JS Developer, React • Node.js • Express • MongoDB • Socket.io, 6 years, Real-time applications • Chat systems • Gaming platforms, $3400, Video: Yes

